मसूरी	ma suu rii
बैटिंग	bai t:ing
रेनवेंशा	rei na vei shaa
शान्तिप्रियता	shaan tip riy taa
त्वाम्	tvaam
कार्बनिक	kaar ba nik
देता	dei taa
आबादी	aa baa dii
सवाल	sa vaal
भद्दे	bhad dei
किल्लत	kil lat
मल्टीप्लेक्स	mal t:iip leiks
श्रोत	shroot
वटूर	va t:uur
भिखारिन	bhi kha rin
पुनर्जागरण	pu nar jaag ran:
तपती	tap tii
कुत्ता	kut taa
स्वराज	sva raaj
लटकता	la t:ak taa
गर्मियों	gar mi yoon
सहगल	sah gal
बिखेरें	bikh rein
अमोनिया	a moo ni yaa
जयंती	ja yan tii
मनोवैज्ञानिक	man voo vaig yaa nik
छेड़ा	chhei d:aa
ग्राहकों	graa ha koon
घूमने	ghuum nei
भुलाया	bhu laa yaa
अशक्त	a shakt
एमबीनामजोशी	ei ma ba maa nii jaush
बांट	baant:
पर	par
अनुशंसा	a nu shan saa
फासो	phaa soo
आरबीआई	ar biiai
अस्पाताल	as pa taal
बल्लेबाज़ी	bal lei baa jii
कटाव	ka t:aav
इंस्टॉल्ड	in staald:
मानवरचित	maa nav ra chit
प्रोटेस्टेंट	proo t:eis t:eint:
नरेंन्द्र	na rein dra
अनजान	an jaan
बालिकाओं	baa li kaoon
कटाई	ka t:aaii
समझदार	sa majh daar
बलि	ba li
क्षैतिज	kshhai tij
दुर्लभ	dur labh
गेंदबाजी	gein dbaa jii
नवाज़ा	na vaa jaa
सुलभता	su labh taa
सुनना	su na naa
डायर	d:aa yar
बुतपरस्त	but pa rast
बांध	baandh
रखें	ra khein
सूरज	suu raj
सवलागी	sav laa gii
ढेर	d:heir
षष्ठी	shhashh t:hii
पिंगाली	pin gaa lii
साइकिलें	saai ki lein
व्यस्त	vyast
ऐजेंट	ei jeint:
मँहगाई	ma han gaaii
इट्स	it:s
बढ़ाये	ba d:haa yei
बढ़ायी	ba d:haa yaaii
कर्नल	kar nal
उन्मत	un mat
एम्बुलेंस	eim bu leins
प्रयुक्त	pra yukt
मस्तिष्क	mas tishhk
प्रस्तुतियाँ	pras tu ti yaan
सिक्के	sik kei
महाराथी	ma haa raa thii
डॉयबिटीज़	d:aa ya bi tiij
चर्मोत्कर्ष	char mook rash
ढकती	d:hak tii
भूतकाल	bhuut kaal
कमेटी	ka mei t:ii
रेडियोएक्टिव	rei d:i yooeik t:iv
लॉज	laaj
चौराहे	chau raa hei
उठते	uth tei
उभारती	u bhaar tii
इलेक्ट्रोस्टैटिक	i leik t:roos t:ai t:ik
आईएनए	aaei nei
भष्ट्राचार	bhash t:raa chaar
सर्वप्रिय	sar vap ri ya
महसूस	mah suus
साखी	saa khii
स्वर्गवासी	svar ga vaa sii
मॉगी	ma gii
यूनिय	yuu niy
लड़ने	lad: nei
कपङों	kap d:oon
भष्टाचार	bhrashh t:aa chaar
विक्रेता	vik rei taa
रो	roo
पंड़ित	pan d:it
रे	rei
सुलझाने	su lajh nei
मानसिक	maan sik
रू	ruu
मैक्रोनी	mai ka roo nii
संघवाद	san ghvaad
मोढ़ते	mood:h tei
माएत	maaeit
इत्यादि	it yaa di
स्कोपजे	skoop jei
सिलसिले	sil si lei
गिटारिस्ट	gi t:aa rist:
स्विट्जरलैंड	svit jar laind:
बोटिंग	boo t:ing
सांस्कृतिक	saan srxi tik
ट्रेर्क्स	treik srei
शैव	shaiv
गॉव	gav
लुपुस	lu pus
देखन	dei khan
छवाय	chha vaay
लेगें	lei gein
गहनता	ga han taa
रौबीली	rau bii lii
अंबावड़े	am baa vaa d:ei
आमरण	aa ma ran:
पुस्तिकाएं	pus ti kaa yein
देखा	dei khaa
आरआईएल	
कुष्ठरोगी	kshhut:h roo gii
मैसीडोनिया	mei sii d:oo ni yaa
चिंताजनक	chin taa ja nak
डबल	d:a bal
निकोस	ni koos
कॉल्डिकॉट	kaal d:i kat:
मिक्सी	mik sii
झाँकियों	jhaan ki yoon
तलाशने	ta laash nei
लाइनमैन	laain main
विकसितकरती	vi ka sit rxi kat
खुशियाँ	khu shi yaan
चहरों	cha ha roon
पर्यटक	par ya t:ak
संचयन	san cha yan
जयगोपाल	jay goo paal
कंपनीयाँ	kam pa nii yaan
अजन्मी	a jan mii
बुर्ज	burj
आईसीएमएस	aai siiei meis
डॉड्स	d:aad:s
शोधसोपचरा	shoodh soop cha raa
नसीब	na siib
चेहरा	chei ha raa
वंचित	van chit
रंगों	ran goon
अंधकार	an dha kaar
टॉनिक	t:aa nik
झेला	jhei laa
पर्यटन	par ya t:an
सरलता	sa ral taa
धूमिल	dhuu mil
पदवी	pa da vii
लीटर	lii t:ar
शिक्षाएं	shik shhaaein
तैरकर	tair kar
मकानों	ma kaa noon
नमक	na mak
झेलम	jhei lam
अनुशीलन	a nu shii lan
प्रतियोंगिताओं	pra ti yoo gi taaoon
रविवार	ra vi vaar
जन्मभूमि	jan ma bhuu mii
फिरते	phir tei
सड़ता	sad: taa
लौकिक	lau kik
वनवास	van vaas
सरलाम्	sar laam
पुनःप्रयोग	pu nah pra yoog
जड़ों	ja d:oon
निहारे	ni haa rei
सर्वश	sar vash
पतझड़	pat jhad:
लक्षणिक	lak shha n:ik
कैंप	kaimp
मृत्युंजय	mrxit yun jay
साँसे	saan sei
मौद्रिक	maud rik
अधिकांश	a dhi kaansh
करोगें	ka roo gei
तैनात	tai naat
जगहें	ja ga hei
बुलाए	bu laaei
परिवहन	pa ri va han
मलेरिया	ma lei ri yaa
कन्याकुमारी	kan yaa ku maa rii
बैठाइये	bai t:haai yei
चुनिया	chu ni yaa
अत्याधुनिक	at yaa dhu nik
असहज	a sa haj
व्ययसायों	vyay saa yoon
संक्रांति	san kraan ti
सशक्तीकरण	sa shak tii ka ran:
ख़्याल	khyaal
बुधवार	budh vaar
अरुणा	a ru n:aa
अमीरात	a miir taa
तिजोरी	ti joo rii
अध्यात्मिक	adh yaat mik
श्रीहरगोविन्द	shrii har goo vind
परिस्थिति	pa ris thi ti
भेजने	bheij nei
अग्नेसे	ag nei sei
धन्यवाद	dhan ya vaad
आलू	aa luu
भाषी	bhaa shhii
अनौपचारिक	a naup chaa rik
निःशुल्क	ni shulk
पहलवान	pa hal vaan
छुप	chhup
कबीरा	ka bii raa
अलार्म	a laarm
सियालकोट	si yaal koot:
धारियों	dhaa ri yoon
दोहो	doo hoo
अभियान	a bhi yaan
सांद्रता	saan dra taa
आशाहीन	aa shhaa hiin
छुट	chhut:
इक्कीसवीं	ik kiis viin
छुआ	chhuaa
हमें	ha mein
लिखाई	li khaaii
कैनाइन	kai naain
नाइटहुड	naait: hud:
इंसेक्टिसाइड	in seik t:i saaid:
छुए	chhuei
स्नान	snaan
महाकाल	ma haa kaal
बाली	ba lii
बिठाकर	bi t:haa kar
जताएँ	ja taaein
जुनियस	ju ni yas
राष्ट्रीयवादी	raashh trii ya vaa dii
कोरी	koo rii
लूडो	luu d:oo
सन्दर्भों	san dar bhoon
चक्र	chakr
हफ्तें	haph tein
हानियों	haa ni yoon
नंगे	nan gei
सूत्र	suut ra
मौखिक	mau khik
तोङा	too daa
सदस्य	sa das ya
सकारात्मकता	sa kaa raat mak
डिवाइस	d:i vaais
विजयवाड़ा	vi jay vaa d:aa
महल	ma hal
मंत्रालय	man traa la ya
सदस्यता	sa das ya taa
तृष्णा	trxish n:aa
ऊर्द्धवाकार	uur ddha vaa kaar
नशे	na shei
हरगोबिंद	har goo bind
सुधारकों	su dhaa ra koon
स्वभाविक	svaa bhaa vik
रिसर्च	ri sarch
डोरेन	d:oo rein
भूमिक	bhuu mik
अखण्डता	a khan d:taa
कथनहजारों	ka than ha jaa roon
स्वाभव	sva bhaav
पढ़ा	pa d:haa
अनुमानित	a nu maa nit
बचाव	ba chaav
क्वैरंटाइन	kvei rant
मक्का	mak kaa
लेफ्टिनेंट	leiph ta nint:
अथवा	a tha vaa
संबंधि	sam ban dhi
सम्बंधों	sam ban dhoon
कटौती	ka t:au tii
तोड़ते	tood: tei
चाहने	chaa ha nei
सॉल्वैंट्स	saal vaint:s
पहनकर	pa han kar
तोड़ती	tood: tii
आपसी	aa pa sii
परेशानी	pa rei shaa nii
वातवरण	vaa taa va ran:
जन्मे	jan mei
केन्द्रक	kein drak
राजगोपालाचारी	raaj goo paa laa chaa rii
ताइहोकू	thaai hoo kuu
नाराज	naa raaj
पुनस्थापन	pu nas thaa pan
ह्दय	hrxi day
बनाने	ba naa nei
विपत्ति	vi pat ti
संबंधों	sam ban dhoon
मस्जिदों	mas ji doon
बनानी	ba naa nii
व्यायम	vyaa yaam
तैरते	tai ra tei
व्यवस्थाओं	vya vas thaaoon
सरकारों	sar kaa roon
भूला	bhuu laa
कर्वे	kar vei
आवश्यकताओं	aa vash ya kaaoon
माटी	maa t:ii
आवश्यकताओँ	aa vash yak taaoon
चाकोर	chaa kaoor
स्वर्णावसर	svar n:aav sar
जंजीरों	jan jii roon
पहिये	pa hi yei
वनीकरण	va nii ka ran:
प्रोटीन	proo t:iin
अंकुश	an kush
अनुकूलन	a nu kuu lan
अर्कहार्ट	ar ka haart:
रखेगी	ra khei gii
आन्दोलनः	aan doo lan
आधिपत्य	aa dhi pat ya
विसर्जित	vi sar jit
बहरेपन	ba ha rei pan
लीवर	lii var
एकैडमी	a kaid: mii
रचानात्मक	ra chaa naat mak
गोडसे	good: sei
कापूजा	ka puu jaa
बटालियन	ba t:aa li yan
विश्वासघात	vish vaas ghaat
क्रिकेटर	kri kei t:ar
क्लासरुम	klaas ruum
आपातकाल	aa paat kaal
देवदास	deiv daas
अंधविश्वास	an dhvish vaas
बॉधने	baan dhnei
राजपूत	raaj puut
पाँचवे	paan chvei
स्पष्टरुप	spash truup
स्थितिः	sthi tih
पतवार	pat vaar
पाँचवी	paan chvii
रनवीर	ran viir
कुलपति	kul pa ti
केआरनारायण	keiaar naa raa yan:
हटाने	ha t:aa nei
वांछित	vaan chhit
भूतों	bhuu toon
वरतन्तु	var tan tu
चयन	cha yan
खाका	khaa kaa
पारंपारिक	paa ram pa rik
चन्द्रशेखर	chan dra shei khar
बढ़ावा	ba d:haa vaa
देंगे	dein gei
वार्ता	vaar taa
देशभर	deish bhar
रोगमुक्त	roog mukt
झुके	jhu kei
आँधियों	aan dhi yoon
प्रौद्योगिकियों	praud yoo gi ki yoon
को	koo
आंकने	aan knei
एकराष्ट्रव्यापी	a kar that yap rashv
लम्बा	lam baa
धाराएँ	dhaa raaein
वीरा	vii raa
प्रोबेशनर्स	proo beish nars
सूखना	suukh naa
प्रचारकों	pra chaa ra koon
बदरीनाथ	bad rii naath
बैठकर	bait:h kar
बादलों	baa da loon
गंगाधर	gan gaa dhar
पदार्थं	pa daarth
हाईड्रेन्ट	haaid: reint:
दंड़	dand:
रेस्टोरेंट	reis too reint:
करना	kar naa
चम्पालाल	cham paa laal
रामायण	raa maa yan:
संसाधनो	san saas dha noon
वित्तिय	vit ti ya
बैठकः	bai thak
बंदरनायके	ban dar naa yak
तुच्छ	tuchchh
में	mein
खानपान	khaan paan
नाशकों	naa sha koon
पढ़ने	pa d:haa nei
मरता	mar taa
सिफारिशें	si phaa ri shein
उपनिषद्	u pa ni shhad
मौजूद	mau juud
कोषाध्याक्ष	koo shhaadh yaksh
पूरिपूरक	puu ri puu rak
मेडिसिन	mei d:i sin
आगाह	aa gaah
अनजाने	an jaa nei
जन्मपत्री	jan ma pat rii
सरोजिनी	sa roo ji nii
खोने	khoo nei
पश्चात	pash chaat
मिलाना	mi laa naa
दिखाओ	di khaaoo
लाजपतराय	laaj pat raay
डोसा	d:oo saa
कृष्णाधन	krxishh ndhan
दिखाए	di khaaei
दिखाई	di khaaii
गंभीरी	gam bhii rii
गडि	ga d:i
चीता	chii taa
मनाया	ma naa yaa
बन्द	band
बारिश	baa rish
कंडक्टिविटी	kan d:ak t:i vi t:i
बिछाकर	bi chhaa kar
पूदचा	puud chaa
क्षणोँ	kshhn:oon
अम्बाला	am baa laa
जानता	jaan taa
मानक	maa nak
तूफान	tuu phaan
चुनो	chu noo
श्रीनगर	shrii na gar
सज्जनता	saj jan taa
फूड्स	phuud:s
मुगलसराय	mu gal sa raai
जताई	ja taaii
बिल्कुल	bil kul
अल्पवयस्क	al pa va yask
फ्री	phrii
आसपास	aas paas
विद्यार्थि	vid yaar thi
भूल	bhuul
तपस्या	ta pas yaa
पहाड़ियों	pa haa d:i yoon
सुपर	su par
किंवदंतियॉ	kin va dan ti yaan
भावनात्मक	bhaav naat mak
सरोवर	sa roo var
मानसून	maan suun
दुल्हन	dul han
गस्त	gast
हलचल	hal chal
खुलवा	khul vaa
रिवीज़	ri viij
ममता	mam taa
समझकर	sa majh kar
सकेगी	sa kei gii
खंडन	khan d:an
लहराती	la ha raa tii
मिंयावाली	min yaa vaa lii
भाईरऊ	bhaaii roo
इजहार	ij haar
गिलबर्ट	gil bart:
मुसलमान	mu sal maan
मिथक	mi thak
नवाचारों	na vaa chaa roon
अभावग्रस्त	a bhaav grast
मुबारक	mu baa rak
मवेजो	ma vei joo
एशियाई	a shi yaaii
सुनहरे	su na ha rei
खिड़की	khid: kii
उन्हंट	un hant:
द्विड़	dvid:
कृष्णन	krxishh n:an
आमजनों	aam ja noon
अग्रसर	ag ra sar
थ्री	thrii
तंदुस्र्स्ती	tan du rus tii
डिस्को	d:is koo
सेक्स	seiks
आकड़ों	aan kd:oon
थ्रो	throo
नाला	naa laa
पूछना	puuchh na
क्रियान्वयन	kri yaan va yan
कराएगी	ka raaei gii
दायक	daa yak
पहियों	pa hi yoon
उछालते	u chhaal tei
धमाकाः	dha maa kaa
मैट्रीकुलेशन	meit rxi ku lei shan
कक्ष	kakshh
सूखे	suu khei
धर्मों	dhar moon
भंडारनायके	bhan d:aar naa yak
लकवा	lak vaa
सम्पादित	sam paa dit
बुलाने	bu laa nei
निरादर	ni raa dar
खुशबूदार	khush buu daar
प्रभाव	pra bhaav
अखंड	a khand:
मार्गदशर्क	maa ga dar shak
चरवाहा	char vaa haa
बॉडी	baa d:ii
अर्पित	ar pit
लताओं	la taaoon
प्रभुत्व	pra bhutv
याद	yaad
घबराहट	ghab raa hat:
दायर	daa yar
नाटकीय	naa ta kii ya
बरतने	ba rat nei
केतु	kei tu
यान	yaan
झुटकारा	jhut: kaa raa
अवसाद	av saad
उन्नत्ति	un nat ti
शिष्य	shishh ya
वैक्यूम	vaik yuum
पलों	pa loon
परिधान	pa ri dhaan
स्टालों	st:aa loon
दुग्ध	dugdh
अहीसा	a hii saa
अपनाते	ap naa tei
मंजिले	man ji lei
भयकंर	bha yan kar
नगरी	na ga rii
पुरस्कार	pu ras kaar
दिव्यांग	div yaang
कादिर	kaa dir
रस	ras
संभावानाएँ	sam bhaav naaein
मदारी	ma daa rii
पहुंचाता	pa hun chaa taa
सम्बाधित	sam baa dhit
करनाल	kar naal
मंगेतर	man gei tar
दौड़ते	daud: tei
सहमा	sa ha maa
पुनः	pu nah
स्वदेशानुराग	sva dei shaa nu raag
देवदासी	deiv daa sii
बेनजीर	bei na jiir
चिंगारी	chin gaa rii
स्नोबॉल	snoo baal
कैंपेन	kaim pein
ब्लेडर	blei d:ar
पहुँचता	pa hun chtaa
मुडती	mud: tii
आँकने	aan knei
नोट्स	noot:s
सहमत	sah mat
सदी	sa dii
कराते	ka raa tei
ब्रिटिशों	bri ti shoon
एचपीब्लाव्टस्की	eich chei pag bhas ta kei
हिदायतुल्ला	hi daa ya tul laa
मार्कसिज़्म	maar ksijm
ढालना	d:haal naa
शरणागत	sha ra n:aa gat
ग्रीटींग	grii tiing
फिल्टरिंग	phil tar ning
शिक्षक	shik shhak
जापान	jaa paan
बदर	ba dar
चारमीनार	chaar mii naar
गाँघी	gaan dhii
तंत्रिक	tan trik
मनोनीत	ma noo niit
प्रार्थना	praar tha naa
शिक्षा	shik shhaa
अग्रवाल	ag ra vaal
गतिरोध	ga ti roodh
बाइकिंग	baai king
भावुकता	bha vuk taa
तुकांत	tu kaant
चाकण	chaa kan:
सीटों	sii t:oon
स्क्रीन	skriin
राजसिंहासन	raa ja sin haa san
वहॉ	va haa
शिक्षण	shik shhan:
बेचारी	bei chaa rii
वनोल्मूलन	va noon muu lan
नियंत्रकों	ni yan tra koon
व्यक्ति	vyak ti
लेनिन	lei nin
पहुंचाए	pa hu chaaein
वयस्क	va yask
फैजाबाद	phai jaa baad
चाउमीन	chaaau miin
दक्षिणा	dak shhin:
कुशलता	ku shal taa
अतीत	a tiit
चित्तौड़	chit taud:
ध्यानचंद	dhyaan chand
कुव्वत	kuv vat
कटरे	kat: rei
जेनरेटर	jein rei t:ar
अचरज	ach raj
एंग्लो	ein gloon
चलाया	cha laa yaa
गुदा	gu daa
वादी	vaa dii
किताब	ki taab
कूड़ा	kuu d:aa
सिख्ख	sikkh
ग्रीवा	grii vaa
वादे	vaa dei
हेम्प्टन	heim pat na
गूँज	guunj
दादा	daa daa
पंचायती	pan chaa ya tii
मनोविज्ञानी	ma noo vig yaa nii
निकलनी	ni kal nii
लिये	li yei
कष्टों	kashh t:oon
जातिवाद	jaa ti vaad
एकाउंट	ei kaaunt:
जमीनी	ja mii nii
भिक्षुक	bhik shhuk
गाँव	gaanv
आर्यभूषण	aar ya bhuu shan:
जुटाया	ju t:aa yaa
बालकों	baa la koon
अनेकता	a neik taa
करते	kar tei
उपनिवेशों	up ni vei shoon
मिलेगा	mi lei gaa
बनो	ba noo
वेस्टबोर्न	vais tab roon
करती	kar tii
मकौड़े	ma kau d:ei
सतीश	sa tiish
इकलौती	i ka lau tii
ग्लोबल	gloo bal
मदिरा	ma di raa
असाह्य	a saahy
एप्लिकेशन	eip li kei shan
हैमलेट	haim leit
अशोक	a shook
जल्दी	jal dii
व्यवहारों	vya va haa roon
कहें	ka hein
मलाशय	ma laa shay
बदन	ba dan
कोलार	koo laar
झलकता	jha lak taa
आईसीएसई	aaei sei sii
व्यायामशाला	vyaa yaam shaa laa
खाशियत	khaa shi yat
साढ़े	saa d:hei
हींग	hiing
सतत	sa tat
युक्त	yukt
तोपों	too poon
तनय	ta nay
क्या	kyaa
स्नातकोत्तर	snaa ta koot tar
यमद्वीप	yam dviip
आत्मघाती	at ma ghaa tii
घासयुक्त	ghaas yukt
नामदेव	naam deiv
आड़	aad
कड़ा	ka d:aa
कल्याणमल	kal yaan: mal
कैथरीन	kai tha riin
दिनी	di nii
गर्भवती	gar bha va tii
कृष्णावली	krxishh n:aa va lii
प्रभावित	pra bhaa vit
संपन्न	sam pann
सौगातो	sau gaa toon
बने	ba nei
करोली	ka roo lii
फादर	phaa dar
ग्रसित	gra sit
दांडी	daan d:ii
विरासत	vi raa sat
नामुमकिन	naa mum kin
सामुहिक	saa muu hik
नमन	na man
आँखे	aan khei
बुजुर्ग	bu jurg
कार्यभार	kaar ya bhaar
झूमते	jhuum tei
संभावित	sam bhaa vit
निर्माता	nir maa taa
आँखो	aan khoon
इरविन	ir vin
सफेद	sa pheid
लद्दाख	lad daakh
पौण्ड	paund:
जंतर	jan tar
पापमय	paap may
बूँदे	buun dei
ड्राईव	d:raaiiv
सिद्ध	siddh
ध्वनिरोधी	dhva ni roo dhii
बालकनियाँ	baal ka ni yaan
आसानी	aa saa nii
उपनेता	up nei taa
पहरे	pa ha rei
लाभांश	laa bhaansh
काबू	kaa buu
नाक	naak
पत्ता	pat taa
पण्डिताई	pan d:i taai
छंद	chhand
सिल्क	silk
बनें	ba nein
नमस्ते	na mas tei
जसवन्त	jas vant
स्टार्टर	st:aart:
ढ़ाचाँ	d:haan chaa
जबड़े	jab d:ei
मध्यम	madh yam
जेवरों	jei va roon
कैकेयी	kai kei yii
मोटा	moo t:aa
आने	aa nei
नारायण	naa raa yan:
मोटर	moo t:ar
पॉप	pap
तापमान	taap maan
लैरेटो	lai reit
बांधों	baan dhoon
मध्या	madh yaa
सुमधुर	su ma dhur
घटना	ghat: naa
कॉम्पैक्ट	kaam paikt:
अग्रगामी	ag ra gaa mii
काबिज	kaa bij
नाईट्रोजन	nait roo jan
मेन्हदी	mein ha dii
क्रूल	kruul
सिखाना	si khaa na
उपाध्यक्ष	u paadh yakshh
नापना	naap naa
दन्नप्पा	da napp
झलक	jha lak
चन्दन	chan dan
कस्बे	kas bei
दैवी	dai vii
टेक	teik
साइमन	saai man
तेलगू	tei la guu
स्वार्थों	svaar thoon
रामनद	raam nad
जमींन	ja miin
झुमके	jhum kei
मिलना	mil naa
कलाकारों	ka laa kaa roon
केंद्र	keindr
नरसंहार	na sam haar
अंडा	an d:aa
चीज	chiij
सरपंच	sar panch
सूजन	suu jan
नये	na yei
मैने	mai nei
बचायें	ba chaa yein
दकियानूसी	da ki yaa nuu sii
घटाकर	gha t:aa kar
दयावन्त	da yaa vant
गंदा	gan daa
सुनवायी	sun vaa yii
हिंसापूर्वक	hin saa puur vak
बखूबी	ba khuu bii
पोषक	poo shhak
पिछड़	pi chhad:
मंत्रालयी	man tra la yii
प्रतियों	pra ti yoon
होता	hoo taa
विभन्न	vi bhan na
मानकों	maa na koon
कल्याणोत्सवम	kal yaa n:oot sa vam
इस्लाम	is laam
आपराधिक	aap raa dhik
कुंड	kund:
लगेंगे	la gein gei
प्रधानमंत्रित्व	praa dhaan man trit va
जनजातियों	jan jaa ti yoon
गन्दे	gan dei
उगने	ug nei
निमोनिया	ni moo ni yaa
सीखाया	sii khaa yaa
गन्दी	gan dii
फीदर	phii dar
रखेंगे	ra khein gei
रखेंगी	ra khein gii
किशोरीलाल	ki shoo rii laal
नमूना	na muu naa
चौड़ाई	chau d:aaii
पाएँगे	paaein gei
बैसाखी	bai saa khii
पैरोकार	pai roo kaar
सुरेन्द्र	
सीमांगुड़ी	sii maa gund~ d:oon
पुनःवितरित	pu naa vit rit
हॉर्न	harn
असंक्रमीकरण	a san kra mii ka ran:
सन्तानों	san taa noon
महानुभाव	ma haa nu bhaav
गतिवधियाँ	ga ti vi dhi yaan
टूडे	tuu d:ei
निष्कासन	nishh kaa san
तिगरीस़	tig riis
चेम्सफोर्ड	cheim sphoord:
सामग्रियों	saa mag ri yoon
असामनता	a sa maa na taa
जनजाति	jan jaa ti
बहुभाषीय	ba hu bhaa shhii ya
स्मारणों	smaar n:oon
अंग्रजों	an gra joon
जन्मदिन	jan ma din
स्वयं	sva yam
निकनेम	nik neim
बर्फबारी	bar pha baa rii
अंजनिसुत	an ja ni sut
सोमदेव	soom deiv
वैश्विक	vaish vik
मिर्जापुर	mir jaa pur
पड़ोसियों	pa d:oo si yoon
बताना	ba taa naa
पौलैण्ड	poo laind:
हिसांत्मक	hi saan tmak
पूछताछ	puuchh taachh
ऐश	aish
कागे	kaa gei
जबाबों	ja baa boon
धो	dhoo
सूझ	suujh
रेंडियन्स	rei nid: yans
गैसों	gai soon
वाकई	vaa kaaii
रहती	rah tii
प्रोजेक्ट	proo jeikt:
हिरन	ha rin
विक्रमसाराभाई	vik ra maa sii raa la
एंजेज	ein jeij
बनाये	ba naa yei
जन्माष्टमी	jan maashh t:mii
बनवायी	ban vaa yii
पुस्तकालयों	pus ta kaa la yoon
ब्रूस	broos
आल्स्य	aa las ya
आन्दोंलन	aan doo lan
आर्यावर्त	aar yaa vart
तार्किक	taar kik
उद्धरण	ud dha ran:
दिनबंधु	din ban dhu
इंडोनेशिया	in d:oo nei shi yaa
ज्योतिराव	jyoo ti raav
वायुमंडलीय	vaa yu man d:a lii ya
खोजकर	khooj kar
नरीमन	na rii man
भलें	bha lein
कमलनाथ	ka mal naath
क्रूर	kruur
काव्यात्मक	kaav yat mak
चार	chaar
बहाया	ba haa yaa
बिशप	bi shap
रुढ़ि	ru d:hi
खुलती	khul tii
इंडोनेशियन	in d:oo nei shi yan
माडले	maad: lei
निरन्तर	ni ran tar
क्षेत्रीय	kshheit rii ya
तकनीक	tak niik
थॉट	thaat:
कार्यालयों	kaar ya la yoon
बिमारी	bi maa rii
हिसार	hi saar
बंसी	ban sii
राजपथ	raaj path
वास्तुशिल्प	vas tu shilp
भूसा	bhuu saa
डिस्टेंस	d:is t:eins
ड्रकर	dar kaar
खुदा	khu daa
तनावपूर्ण	ta naav puurn:
बेसिन	bei sin
खरीदने	kha riid nei
माघी	maa ghii
कैरोलिन	kai roo lin
भड़का	bhad: kaa
ठंड़े	than d:ei
जीवित	jii vit
केबिन	kei bin
भावो	bhaa voon
नाजायज	naa jaa yaj
मदन	ma dan
गरबा	gar baa
प्रजासंघ	pra jaa sangh
कपाल	ka paal
पैरवी	pai ra vii
विशेषज्ञता	vi shei shhag yaa
मज़बूती	maj buu tii
सपनो	sap noon
चिकित्सिय	chi kit syei
किंडरगार्डेन	kin d:ar gaar d:ein
कपास	ka paas
ढूंढ़ते	d:huun d:htei
हीरे	hii rei
दूरदर्शी	duur dar shii
अचूक	a chuuk
गलियारे	ga li yaa rei
पड़ावों	pa daa voon
वर्षगांठ	var shgaant:h
सद्भावना	sad bhaa va naa
मदर	ma dar
प्राणप्रतिष्ठा	praan: pra tishh t:haa
उबरने	u bar nei
व्याख्यानों	vyaakh yaa noon
आवश्यक	aa vash yak
मंगेतरों	man gei ta roon
वेंकटेश्वर	vein ka teish var
मानकीकरण	maan kii ka ran:
पापों	paa poon
लेखने	leikh nei
बेवक्त	bei vakt
जुरुरत	ju ru rat
भासण	bhaa san:
अड़गड़ानंद	a da ga daa nand
तमिलानाडु	ta mil naa d:u
विधि	vi dhi
राजाराम	raa jaa raam
बढ़ी	ba d:hii
अंगोला	an goo laa
क्राफर्ड	kraa phard:
बढ़े	ba d:hei
ठहलाने	t:ha ha laa nei
वे	vei
बुद्धिमत्ता	bud dhi mat taa
मिला	mi laa
कॉलेरा	kaa lei raa
फैशन	phai shan
करवा	kar vaa
मिलर	mi lar
भुला	bhu laa
उष्मारोधी	uushh maa roo dhi
पोशाकों	poo shaa khoon
वैशाली	vai shaa lii
मिलन	mi lan
चिपलूणकर	chi pa luun: kar
पोचांपली	poo chaa pal lii
पर्स	pars
तपस्वी	ta pas vii
काता	kaa taa
बदलाव	ba da laav
रावण	raa van:
चरित्रों	cha rit roon
कंगन	kan gan
सेना	sei naa
अन्नकूट	an na kuut:
रावन	raa van
ड्राईवर	draaii var
प्राधिकरण	praa dhi ka ran:
ढ़ोंग	d:hoong
काण्ङ	kaand:
रावल	raa val
प्रसंस्करण	pra san ska ran:
गोरों	goo roon
बदलना	ba dal naa
फेस्टिवल्स	pheis t:i vals
महाराष्ट्र	
नाजुक	naa juk
पुरानी	pu raa nii
पुराने	pu raa nei
दीन्हा	diin haa
वसन्ता	va san taa
पवित्रता	pa vit ra taa
एनेरोबिक	ei nei roo bik
सुत्रों	sut roon
जोखिमपूर्ण	joo khim puurn:
तरंगा	ta ran gaa
प्रवंचनाके	pra van chnaa kei
कपड़ो	ka pa d:oon
शैली	shai lii
देखें	dei khein
आर्दश	aar dash
मूर्हूत	muur huut
बहोत	ba hoot
ललित	la lit
कूलिंग	kuu ling
डाउनलोड	d:aaun lood:
रंगोंकेसरिया	ran goon kei sa ri yaa
पेंटनविले	pein t:al vi lei
सोने	soo nei
फायरिंग	phaa ya ring
सहकारी	sa ha kaa rii
रैम्पों	raim poon
प्रतिपुष्टी	pra ti pushh t:i
मालाओं	maa laaoon
प्रविधि	pra vi dhi
ज्ञान	jyaa na
खेदजनक	kheid ja nak
नहाए	na haaei
निगरानी	nig raa nii
एचडीपी	eich d:ii pii
मिडेविल	mid: veil
शॉपिंग	shaa ping
अध्यादेश	adh yaa deish
मौसिमा	mau si maa
अन्तर्मन	an tar man
नौकरीपेशा	nauk rii pei shaa
काटते	kaat: tei
कटाक्ष	ka t:aaksh
तोहफा	tooh phaa
सामानयत	saa maa na yat
चितौड़	chi taud:
क्रिसमसटाइड	kri sa ma t:aaid:
नदीयों	na dii yoon
इज़ाजत	i jaa zat
